id_item;cd_item;nome
1;0;,MG / BIRD - REFORMA DO ESTADO
2;0;ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA
3;0;ADMINISTRACAO DE DEPOSITOS JUDICIAIS
4;0;AFD - PROGRAMA DE APOIO AOS INVESTIMENTOS EM INFRAESTRUTURA DE SERVICOS BASICOS DE MG - CRC/CEMIG
5;0;AGENCIA NACIONAL DAS AGUAS - ANA / INSTITUTO MINEIRO DE GESTAO DAS AGUAS - IGAM
6;0;AGENCIA NACIONAL DE AGUAS - ANA / FUNDACAO RURAL MINEIRA - RURALMINAS
7;0;AGENCIA NACIONAL DE AGUAS - ANA / INSTITUTO MINEIRO DAS AGUAS - IGAM
8;0;AGENCIA NACIONAL DE AGUAS - ANA / INSTITUTO MINEIRO DE GESTAO DAS AGUAS - IGAM
9;0;AGENCIA NACIONAL DE AGUAS - ANA / SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL - SEMAD
10;0;AGENCIA NACIONAL DE AGUAS / CAIXA ECONOMICA FEDERAL / FUNDACAO RURAL MINEIRA - RURALMINAS
11;0;AGENCIA NACIONAL DE AGUAS / INSTITUTO MINEIRO DE GESTAO DAS AGUAS - IGAM
12;0;AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL / FUNDACAO ESTADUALDO MEIO AMBIENTE - FEAM
13;0;AGENCIA NACIONAL DE SAUDE / FUNDACAO EZEQUIEL DIAS - FUNED
14;0;AGENCIA NACIONAL DE TRANSPORTES TERRESTRES - ANTT / POLICIA MILITAR DE MINAS GERAIS - PMMG
15;0;AGENCIA NACIONAL DE VIGILANCIA SANITARIA / FUNDACAO EZEQUIEL DIAS - FUNED
16;0;AGENCIA NACIONAL DE VIGILANCIA SANITARIA / FUNDO ESTADUAL DE SAUDE - PROVISA
17;0;AGENCIA NACIONAL DO PETROLEO / CORPO DE BOMBEIROS MILITAR DE MG - CBMMG
18;0;AGENCIA NACIONAL DO PETROLEO / CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS - CBMMG
19;0;AGENCIA NACIONAL DO PETROLEO / SECRETARIA DE ESTADO DE MINAS E ENERGIA
20;0;AGENCIA NACIONAL VIGILANCIA SANITARIA / FUNDACAO EZEQUIEL DIAS - FUNED
21;0;AGENCIA NACIONAL VIGILANCIA SANITARIA / FUNDO ESTADUAL DE SAUDE - FES - PROVISA
22;0;ALGAR S.A. / FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG
23;0;ALIENACAO - RESGATE DE LETRAS FINANCEIRA DO TESOURO
24;0;ALIENACAO / RESGATE DE LETRAS FINANCEIRAS DO TESOURO
25;0;ALIENACAO DE ACOES CASEMG/CEASA
26;0;ALIENACAO DE ATIVOS - FCVS / MINAS CAIXA
27;0;ALIENACAO DE ATIVOS - MINASCAIXA
28;0;ALIENACAO DE ATIVOS - MINASCAIXA E FCVS
29;0;ALIENACAO DE ATIVOS - OUTROS
30;0;ALIENACAO DE BENS
31;0;ALIENACAO DE BENS IMOVEIS
32;0;ALIENACAO DE BENS MOVEIS
33;0;ALIENACAO DE DIREITOS CREDITORIOS  LEI 19.266/2010
34;0;ALIENACAO DE OUTROS BENS MOVEIS
35;0;ALIENACAO DE TITULOS E DIREITOS DE CREDITO - SANEAMENTO DO SISTEMA FINANCEIRO
36;0;ALIENACAO DE TITULOS E DIREITOS DE CREDITO - SANEAMENTO SISTEMA FINANCEIRO
37;0;ALIENACAO DE TITULOS MOBILIARIOS
38;0;ALUGUEIS
39;0;AMA SOLUCOES TECNOLOGICAS LTDA / FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG
40;0;AMORTIZACAO DE EMPRESTIMOS
41;0;AMORTIZACAO DE EMPRESTIMOS - EM CONTRATOS
42;0;AMORTIZACAO DE EMPRESTIMOS - EM TITULOS
43;0;AMORTIZACAO DE FINANCIAMENTOS
44;0;AMORTIZACAO DE FINANCIAMENTOS DE BENS
45;0;AMORTIZACAO DE FINANCIAMENTOS DE PROJETOS
46;0;AMORTIZACAO DE FINANCIAMENTOS DIVERSOS
47;0;ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A / DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DER
48;0;ANGLO FERROUS MINAS-RIO MINERACAO / DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DER
49;0;ARRENDAMENTOS
50;0;ASSISTENCIA A EDUCACAO FISICA E ESPORTE AMADOR- FAEFEA / LOTERIA DO ESTADO DE MG / SECRETARIA DE ESTADO DE ESPORTES
51;0;ASSISTENCIA AO MENOR/LOTERIA DO ESTADO MG/SECRETARIA DO ESTADO DO TRABALHO ASSIST. SOCIAL DA CRIANCA E DO ADOLESCENTE
52;0;ASSOCIACAO DAS SIDERURGICAS PARA FOMENTO FLORESTAL / INSTITUTO ESTADUAL DE FLORESTAS
53;0;ATUALIZACAO CAMBIAL - SEF
54;0;ATUALIZACAO MONETARIA - MINASCAIXA
55;0;ATUALIZACAO MONETARIA - TITULOS DO TESOURO NACIONAL - SEF
56;0;B. BRASIL - PROGRAMA DE DESENVOLVIMENTO DE MINAS GERAIS - PDMG
57;0;B.BRASIL - PROGRAMA DE INFRAESTRUTURA RODOVIARIA - PROIR
58;0;BANCO BONSUCESSO S.A / COHAB / FUNDO ESTADUAL DE HABITACAO
59;0;BANCO CENTRAL DO BRASIL / CORPO DE BOMBEIROS DE MINAS GERAIS
